Cc,Sucursal,GRABADOR,ALARMA,CONTROL,SINCROBACK
1393,Concepcion de los Baños,192.168.230.98,192.168.230.105,192.168.230.106,192.168.230.107
1325,Coacoatzintla,192.169.0.130,192.169.0.137,192.169.0.138,192.169.0.139
1199,Santa  Maria del Monte,192.168.249.114,192.168.249.121,192.168.249.122,192.168.249.123
1169,Ixtlahuaca,192.168.229.130,192.168.229.137,192.168.229.138,192.168.229.139
1973,Las Vigas,192.169.0.146,192.169.0.153,192.169.0.154,192.169.0.155
2007,San Pedro de los Baños,192.168.237.178,192.168.237.185,192.168.237.186,192.168.237.187
1889,Acocomotla,192.168.249.162,192.168.249.169,192.168.249.170,192.168.249.171
2128,Misantla,192.169.1.82,192.169.1.89,192.169.1.90,192.169.1.91
2013,Sebastian Buenos Aires, 192.168.230.18 ,192.168.237.137,192.168.237.138,192.168.237.139
1775,Santa Monica,192.168.237.114,192.168.237.121,192.168.237.122,192.168.237.123
1710,Chichotla,192.168.250.34,192.168.250.41,192.168.250.42,192.168.250.43
1943,Tlapacoyan,192.169.1.2,192.169.1.9,192.169.1.10,192.169.1.11
1127,Panotla,192.168.227.34,192.168.227.41,192.168.227.42,192.168.227.43
1930,Rodriguez Clara,192.169.1.98,192.169.1.105,192.168.1.106,192.168.1.107
1770,San Isidro Boxipe,192.168.237.194,192.168.237.201,192.168.237.202,192.168.237.203
1424,Los Mangos,192.169.0.2,192.169.0.9,192.169.0.10,192.169.0.11
1777,Emilio Portes Gil,192.168.237.98,192.168.237.105,192.168.237.106,192.168.237.107
1427,San Andres Tuxtla,192.169.1.34,192.169.1.41,192.169.1.42,192.169.1.43
1166,Los Llanos,192.168.235.178,192.168.235.185,192.168.235.186,192.168.235.187
2025,Suchitepec,192.168.237.50,192.168.237.57,192.168.237.58,192.168.237.59
1715,La Libertad,192.168.250.18,192.168.250.25,192.168.250.26,192.168.250.27
1519,Cerro Azul,192.169.0.242,192.169.0.249,192.169.0.250,192.169.0.251
1859,San Miguel Coatlan,192.168.245.82,192.168.245.89,192.168.245.90,192.168.245.91
1509,Topeca,192.168.250.178,192.168.250.185,192.168.250.186,192.168.250.187
1264,Carichi,192.168.234.242,192.168.234.249,192.168.234.250,192.168.234.251
1512,Zautla ,192.168.249.146,192.168.249.153,192.168.249.154,192.168.249.155
1975,Coatzintla,192.169.1.114,192.169.1.121,192.169.1.122,192.169.1.123
1194,Huehuetla,192.168.248.146,192.168.248.153,192.168.248.154,192.168.248.155
1333,Hunucma,192.169.1.210,192.169.1.217,192.168.1.218,192.168.1.219
1735,Campo Grande,192.169.0.210,192.169.0.217,192.169.0.218,192.169.0.219
2330,Guaymas,192.169.3.146,192.169.3.153,192.169.3.154,192.169.3.155
1990,Cananea,192.169.3.130,192.169.3.137,192.169.3.138,192.169.3.139
1586,La Libertad,192.168.234.98,192.168.234.105,192.168.234.106,192.168.234.107
1911,Apizaco,192.168.254.82,192.168.254.89,192.168.254.89,192.168.254.90
1646,Asunción Nochixtlán,192.168.246.162,192.168.246.169,192.168.246.170,192.168.246.171
1547,San Juan Atenco,192.168.249.194,192.168.249.201,192.168.249.202,192.168.249.203
1919,Terrenate,192.168.253.242,192.168.253.249,192.168.253.150,192.168.253.151
1420,Aguachinola,192.168.254.194,192.168.254.201,192.168.254.202,192.168.254.203
1733,Colipa,192.169.0.194,192.169.0.201,192.169.0.202,192.169.0.203
1255,Comondu CD Insurgentes,192.168.231.194,192.168.231.201,192.168.231.202,192.168.231.203
1216,Golfo Santa Clara,192.168.252.146,192.168.252.153,192.168.252.154,192.168.252.155
1435,CD Constitucion,192.168.232.50,192.168.232.57,192.168.232.58,192.168.232.59
1946,Yecuatla,192.168.254.242,192.168.254.249,192.168.254.250,192.168.254.251
1159,Guatacala,192.168.252.162,192.168.252.169,192.168.252.170,192.168.252.171
1425,Lerdo de Tejada,192.169.0.18,192.169.0.25,192.169.0.26,192.169.0.27
1915,"Huamantla, Juarez",192.168.254.66,192.168.254.73,192.168.254.74,192.168.254.75
1256,La Paz,192.168.231.210,192.168.231.217,192.168.231.218,192.168.231.219
1154,Emiliano Zapata,192.168.229.2,192.168.229.9,192.168.229.10,192.168.229.11
1922,Tolcatlan,192.168.253.194,192.168.253.201,192.168.253.202,192.168.253.203
1141,Tehuantepec,192.168.228.50,192.168.228.57,192.168.228.58,192.168.228.59
1885,San Juan Amecac,192.168.249.226,192.168.249.233,192.168.249.234,192.168.249.235
1497,Chiautzingo,192.168.248.114,192.168.248.121,192.168.248.122,192.168.248.123
1685,Morro de Mazatan,192.168.246.194,192.168.246.201,192.168.246.202,192.168.246.203
2102,Atzompan,192.168.249.2,192.168.249.9,192.168.249.10,192.168.249.11
1508,Teontepec,192.168.249.82,192.168.249.89,192.168.249.90,192.168.249.91
1274,Cabo San Lucas,192.168.231.242,192.168.231.249,192.168.231.250,192.168.231.251
1276,San Jose del Cabo,192.168.232.34,192.168.232.41,192.168.232.42,192.168.232.43
1884,Magdalena Tetela,192.168.250.2,192.168.250.9,192.168.250.10,192.168.250.11
1437,Sabancuy,192.168.232.114,192.168.232.121,192.168.232.122,192.168.232.123
1559,"Vertientes, La Trinitaria",192.168.233.242,192.168.233.249,192.168.233.250,192.168.233.251
1913,Tequexquitla,192.168.254.50,192.168.254.57,192.168.254.58,192.168.254.59
1923,Tzompantepec,192.168.253.178,192.168.253.185,192.168.253.186,192.168.253.187
1257,Loreto,192.168.231.226,192.168.231.233,192.168.231.234,192.168.231.235
1895,Tepeca,192.168.248.194,192.168.248.201,192.168.248.202,192.168.248.203
1575,Villa Alberto Mulege,192.169.3.162,192.169.3.169,192.169.3.170,192.169.3.171
1416,Soyataco,192.168.252.178,192.168.252.185,192.168.252.186,192.168.252.187
1130,Acacoyagua,192.168.227.130,192.168.227.137,192.168.227.138,192.168.227.139
1415,Recoveco,192.168.251.178,192.168.251.185,192.168.251.186,192.168.251.187
1285,Culiacan Conafor,192.168.252.130,192.168.252.137,192.168.252.138,192.168.252.139
1853,San Dionicio,192.168.245.162,192.168.245.169,192.168.245.170,192.168.245.171
1651,Tlaxiaco San Pedro,192.168.247.98,192.168.247.105,192.168.247.106,192.168.247.107
1675,Lachigalla,192.168.247.34,192.168.247.41,192.168.247.42,192.168.247.43
1258,Guerrero Negro,192.168.232.2,192.168.232.9,192.168.232.10,192.168.232.11
1161,Hopolchen,192.168.232.98,192.168.232.105,192.168.232.106,192.168.232.107
1259,Santa Rosalia,192.168.232.18,192.168.232.25,192.168.232.26,192.168.232.27
1278,Mapimi,192.168.236.146,192.168.236.153,192.168.236.154,192.168.236.155
1891,San Felipe Teotlalcingo,192.168.249.18,192.168.249.25,192.168.249.26,192.168.249.27
1327,Tuxpan Alto Lucero,192.168.230.162,192.168.230.169,192.168.230.170,192.168.230.171
1421,Alvarado,192.169.0.226,192.169.0.233,192.169.0.234,192.169.0.235
1481,La Trinitaria Lázaro Cárdenas,192.168.233.146,192.168.233.153,192.168.233.154,192.168.233.155
1293,Oaxaca Riveras,192.168.247.242,192.168.247.249,192.168.247.250,192.168.247.251
1639,Jonacatepec,192.168.243.50,192.168.243.57,192.168.243.58,192.168.243.59
1160,Nacajuca,192.168.253.82,192.168.253.89,192.168.253.90,192.168.253.91
1653,Huautla,192.168.247.146,192.168.247.153,192.168.247.154,192.168.247.155
1428,Xochiapa,192.169.0.50,192.169.0.57,192.169.0.58,192.169.0.59
1669,San José Chiltepec,192.168.247.66,192.168.247.73,192.168.247.74,192.168.247.75
1404,Acatlan,192.168.247.210,192.168.247.217,192.168.247.218,192.168.247.219
1510,Santa Maria la Alta,192.168.249.34,192.168.249.41,192.168.249.42,192.168.249.43
