,sucursal,nombre,camara,first_video,last_video,segmento_inicio,segmento_fin,tiempo_segmento,last_update
30,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 08:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 07:06:12
31,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 07:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 06:19:36
32,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 06:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 05:04:51
33,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 05:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 04:17:53
34,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 04:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 03:05:04
35,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 03:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 02:17:38
36,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 02:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 01:05:21
37,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 01:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 00:17:38
38,266,Puerto Vallarta,12518,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 00:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-18 23:04:13
39,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 18:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 17:36:36
40,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 15:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 14:27:12
41,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 09:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 08:14:44
42,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 08:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 07:06:13
43,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 07:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 06:19:36
44,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 06:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 05:04:51
45,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 05:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 04:17:53
46,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 04:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 03:05:04
47,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 03:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 02:17:38
48,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 02:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 01:05:22
49,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 01:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 00:17:38
50,266,Puerto Vallarta,12519,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 00:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-18 23:04:13
51,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 18:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 17:36:36
52,266,Puerto Vallarta,36834,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 15:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 14:27:14
