,sucursal,nombre,ip,channel,starttime,endtime,diff
63,2378,COYOACAN 2,192.169.5.66,0,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
64,2378,COYOACAN 2,192.169.5.66,1,2023-04-17 22:59:00,2023-04-18 14:42:01,943.0166666666667
65,2378,COYOACAN 2,192.169.5.66,1,2023-04-18 19:19:10,2023-04-18 23:59:00,279.8333333333333
66,2378,COYOACAN 2,192.169.5.66,1,2023-04-18 16:55:45,2023-04-18 18:36:29,100.73333333333333
67,2378,COYOACAN 2,192.169.5.66,2,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
68,2378,COYOACAN 2,192.169.5.66,2,2023-04-18 19:19:22,2023-04-18 23:59:00,279.6333333333333
69,2378,COYOACAN 2,192.169.5.66,3,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
70,2378,COYOACAN 2,192.169.5.66,3,2023-04-18 19:19:11,2023-04-18 23:59:00,279.81666666666666
71,2378,COYOACAN 2,192.169.5.66,4,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
72,2378,COYOACAN 2,192.169.5.66,4,2023-04-18 19:19:10,2023-04-18 23:59:00,279.8333333333333
73,2378,COYOACAN 2,192.169.5.66,5,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
74,2378,COYOACAN 2,192.169.5.66,5,2023-04-18 19:19:20,2023-04-18 23:59:00,279.6666666666667
75,2378,COYOACAN 2,192.169.5.66,6,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
76,2378,COYOACAN 2,192.169.5.66,6,2023-04-18 19:19:16,2023-04-18 23:59:00,279.73333333333335
77,2378,COYOACAN 2,192.169.5.66,7,2023-04-17 22:59:00,2023-04-18 08:35:32,576.5333333333333
78,2378,COYOACAN 2,192.169.5.66,7,2023-04-18 19:19:21,2023-04-18 23:59:00,279.65
79,2378,COYOACAN 2,192.169.5.66,8,2023-04-17 22:59:00,2023-04-18 08:36:30,577.5
80,2378,COYOACAN 2,192.169.5.66,8,2023-04-18 19:19:10,2023-04-18 23:59:00,279.8333333333333
81,2378,COYOACAN 2,192.169.5.66,9,2023-04-17 22:59:00,2023-04-18 08:36:30,577.5
82,2378,COYOACAN 2,192.169.5.66,9,2023-04-18 19:19:11,2023-04-18 23:59:00,279.81666666666666
83,2378,COYOACAN 2,192.169.5.66,10,2023-04-17 22:59:00,2023-04-18 08:35:34,576.5666666666667
84,2378,COYOACAN 2,192.169.5.66,10,2023-04-18 19:18:46,2023-04-18 23:59:00,280.23333333333335
85,2378,COYOACAN 2,192.169.5.66,11,2023-04-17 22:59:00,2023-04-18 08:35:32,576.5333333333333
86,2378,COYOACAN 2,192.169.5.66,11,2023-04-18 19:19:13,2023-04-18 23:59:00,279.78333333333336
87,2378,COYOACAN 2,192.169.5.66,12,2023-04-17 22:59:00,2023-04-18 08:36:30,577.5
88,2378,COYOACAN 2,192.169.5.66,12,2023-04-18 19:19:13,2023-04-18 23:59:00,279.78333333333336
89,2377,AZCAPOTZALCO 2,192.169.4.226,0,2023-04-18 19:19:09,2023-04-18 23:59:00,279.85
90,2376,ALVARO OBREGON 4,192.169.4.194,0,2023-04-17 22:59:00,2023-04-18 08:51:46,592.7666666666667
91,2376,ALVARO OBREGON 4,192.169.4.194,1,2023-04-17 22:59:00,2023-04-18 08:52:15,593.25
92,2376,ALVARO OBREGON 4,192.169.4.194,1,2023-04-18 19:12:42,2023-04-18 23:59:00,286.3
93,2376,ALVARO OBREGON 4,192.169.4.194,2,2023-04-17 22:59:00,2023-04-18 08:51:46,592.7666666666667
94,2376,ALVARO OBREGON 4,192.169.4.194,2,2023-04-18 19:13:03,2023-04-18 23:59:00,285.95
95,2376,ALVARO OBREGON 4,192.169.4.194,3,2023-04-17 22:59:00,2023-04-18 08:51:45,592.75
96,2376,ALVARO OBREGON 4,192.169.4.194,3,2023-04-18 19:13:17,2023-04-18 23:59:00,285.71666666666664
97,2376,ALVARO OBREGON 4,192.169.4.194,4,2023-04-17 22:59:00,2023-04-18 08:51:45,592.75
98,2376,ALVARO OBREGON 4,192.169.4.194,4,2023-04-18 19:13:01,2023-04-18 23:59:00,285.98333333333335
99,2376,ALVARO OBREGON 4,192.169.4.194,5,2023-04-17 22:59:00,2023-04-18 08:52:15,593.25
100,2376,ALVARO OBREGON 4,192.169.4.194,5,2023-04-18 19:13:17,2023-04-18 23:59:00,285.71666666666664
101,2376,ALVARO OBREGON 4,192.169.4.194,6,2023-04-17 22:59:00,2023-04-18 08:51:46,592.7666666666667
102,2376,ALVARO OBREGON 4,192.169.4.194,6,2023-04-18 19:13:02,2023-04-18 23:59:00,285.96666666666664
103,2376,ALVARO OBREGON 4,192.169.4.194,7,2023-04-17 22:59:00,2023-04-18 08:51:46,592.7666666666667
104,2376,ALVARO OBREGON 4,192.169.4.194,7,2023-04-18 19:12:58,2023-04-18 23:59:00,286.03333333333336
105,2376,ALVARO OBREGON 4,192.169.4.194,8,2023-04-17 22:59:00,2023-04-18 08:51:46,592.7666666666667
106,2376,ALVARO OBREGON 4,192.169.4.194,8,2023-04-18 19:12:42,2023-04-18 23:59:00,286.3
107,2376,ALVARO OBREGON 4,192.169.4.194,9,2023-04-17 22:59:00,2023-04-18 08:51:45,592.75
108,2376,ALVARO OBREGON 4,192.169.4.194,9,2023-04-18 19:12:47,2023-04-18 23:59:00,286.21666666666664
109,2376,ALVARO OBREGON 4,192.169.4.194,10,2023-04-17 22:59:00,2023-04-18 08:52:15,593.25
110,2376,ALVARO OBREGON 4,192.169.4.194,10,2023-04-18 19:12:57,2023-04-18 23:59:00,286.05
111,2376,ALVARO OBREGON 4,192.169.4.194,11,2023-04-17 22:59:00,2023-04-18 08:51:45,592.75
112,2376,ALVARO OBREGON 4,192.169.4.194,11,2023-04-18 19:13:02,2023-04-18 23:59:00,285.96666666666664
113,2376,ALVARO OBREGON 4,192.169.4.194,12,2023-04-17 22:59:00,2023-04-18 08:51:45,592.75
114,2376,ALVARO OBREGON 4,192.169.4.194,12,2023-04-18 19:13:17,2023-04-18 23:59:00,285.71666666666664
