
sucursal:220, cameras:9,videos_lost:0 
sucursal:229, cameras:17,videos_lost:0 
sucursal:218, cameras:12,videos_lost:0 
sucursal:225, cameras:12,videos_lost:1 
sucursal:229, cameras:17,videos_lost:0 
sucursal:226, cameras:12,videos_lost:3 
sucursal:220, cameras:9,videos_lost:0 
sucursal:229, cameras:17,videos_lost:0 
sucursal:210, cameras:9,videos_lost:3 
sucursal:226, cameras:12,videos_lost:7 
sucursal:220, cameras:9,videos_lost:0 
sucursal:229, cameras:17,videos_lost:4 
sucursal:218, cameras:12,videos_lost:0 
sucursal:220, cameras:9,videos_lost:0 
sucursal:227, cameras:8,videos_lost:2 
sucursal:219, cameras:4,videos_lost:4 
sucursal:226, cameras:12,videos_lost:9 
sucursal:218, cameras:12,videos_lost:0 
sucursal:225, cameras:12,videos_lost:1 
sucursal:217, cameras:7,videos_lost:0 
sucursal:229, cameras:17,videos_lost:4 
sucursal:230, cameras:8,videos_lost:4 
sucursal:225, cameras:12,videos_lost:1 
sucursal:229, cameras:17,videos_lost:4 
sucursal:233, cameras:10,videos_lost:0 
sucursal:227, cameras:8,videos_lost:2 
sucursal:233, cameras:10,videos_lost:0 
sucursal:229, cameras:17,videos_lost:3 
sucursal:230, cameras:8,videos_lost:5 
sucursal:233, cameras:10,videos_lost:0 
sucursal:217, cameras:7,videos_lost:0 
sucursal:233, cameras:10,videos_lost:2 
sucursal:230, cameras:8,videos_lost:3 
sucursal:229, cameras:17,videos_lost:4 
sucursal:233, cameras:10,videos_lost:2 
sucursal:233, cameras:10,videos_lost:2 
sucursal:230, cameras:8,videos_lost:3 
sucursal:233, cameras:10,videos_lost:2 
sucursal:227, cameras:8,videos_lost:2 
sucursal:230, cameras:8,videos_lost:0 
sucursal:230, cameras:8,videos_lost:0 
sucursal:229, cameras:17,videos_lost:4 
sucursal:217, cameras:7,videos_lost:0 
sucursal:219, cameras:4,videos_lost:6 
sucursal:230, cameras:8,videos_lost:0 
sucursal:233, cameras:10,videos_lost:0 
sucursal:234, cameras:8,videos_lost:0 
sucursal:229, cameras:17,videos_lost:0 
sucursal:229, cameras:17,videos_lost:0 
sucursal:230, cameras:8,videos_lost:0 
sucursal:233, cameras:10,videos_lost:0 
sucursal:229, cameras:17,videos_lost:0 
sucursal:234, cameras:8,videos_lost:0 
sucursal:229, cameras:17,videos_lost:4 
sucursal:241, cameras:7,videos_lost:1 
sucursal:241, cameras:7,videos_lost:2 
sucursal:229, cameras:17,videos_lost:4 
sucursal:234, cameras:8,videos_lost:0 
