Sucursal,Dvr,DvrModelo,DvrSerial,camara,CamaraIp,CamaraSerie,CamaraModelo,HttpPort,HttpsPort,Port,Version,AudioInputChannels,VideoInputChannels,VideoInputs[0].Name
1119,192.169.10.66,DH-XVR5216A-I2,7D0C3B8PAZ4AB58, c3, 192.169.10.68, 7D0C17EPAGB5F9E, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1119 Charo Sedena-Cajas 
1119,192.169.10.66,DH-XVR5216A-I2,7D0C3B8PAZ4AB58, c4, 192.169.10.69, 7D0C17EPAG97168, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1119 Charo Sedena-ATM
1119,192.169.10.66,DH-XVR5216A-I2,7D0C3B8PAZ4AB58, c5, 192.169.10.70, 7E06A1CPAG0E094, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1119 Charo Sedena-Exterior
1119,192.169.10.66,DH-XVR5216A-I2,7D0C3B8PAZ4AB58, c6, 192.169.10.72, 7E06A1CPAG07309, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1119 Charo Sedena-Dotación de 
1121,192.169.10.50,DH-XVR5216A-I2,7D0C3B8PAZ40F55, c1, 192.169.10.51, 7D0C17EPAG11AF4, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1121 Epitacio Huerta-Dotación 
1121,192.169.10.50,DH-XVR5216A-I2,7D0C3B8PAZ40F55, c2, 192.169.10.52, 7D0C17EPAG43270, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1121 Epitacio Huerta-Exterior
1121,192.169.10.50,DH-XVR5216A-I2,7D0C3B8PAZ40F55, c3, 192.169.10.53, 7D0C17EPAG9BCCB, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1121 Epitacio Huerta-Bóveda
1121,192.169.10.50,DH-XVR5216A-I2,7D0C3B8PAZ40F55, c4, 192.169.10.54, 7D0C17EPAGD00EE, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1121 Epitacio Huerta-Ejecutivo
1121,192.169.10.50,DH-XVR5216A-I2,7D0C3B8PAZ40F55, c5, 192.169.10.55, 7E06A1CPAG0580E, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1121 Epitacio Huerta-ATM
1121,192.169.10.50,DH-XVR5216A-I2,7D0C3B8PAZ40F55, c6, 192.169.10.56, 7E06A1CPAG7A4A4, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1121 Epitacio Huerta-Cajas
1124,192.168.227.18,DH-XVR5216A-I2,7D0C3B8PAZB2ECD, c1, 192.168.227.23, 7D0C17EPAGC3BAB, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1124 -Ciudad Mier SEDENA-Ejecut
1124,192.168.227.18,DH-XVR5216A-I2,7D0C3B8PAZB2ECD, c2, 192.168.227.24, 7D0C17EPAGDDD03, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1124 -Ciudad Mier SEDENA-Bóved
1124,192.168.227.18,DH-XVR5216A-I2,7D0C3B8PAZB2ECD, c3, 192.168.227.19, 7D0C17EPAGE1D92, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1124 -Ciudad Mier SEDENA-Cajas
1124,192.168.227.18,DH-XVR5216A-I2,7D0C3B8PAZB2ECD, c4, 192.168.227.20, 7D0C17EPAGE42CB, IP Camera, 80, 443, 37777, 2.820.0000000.28.R,2021-03-23, 1, 1, 1124 -Ciudad Mier SEDENA-ATM
1124,192.168.227.18,DH-XVR5216A-I2,7D0C3B8PAZB2ECD, c5, 192.168.227.22, 7E06A1CPAG8B1A9, IP Camera, 80, 443, 37777, 2.800.0000000.26.R,2021-04-21, 0, 1, 1124 -Ciudad Mier SEDENA-Dotaci
